professor_name,star_rating,RMP_rating,AP,A,AM,BP,B,BM,CP,C,CM,DP ,D,DM ,F
Jans  Wager,4.5,4.5,0,4,1,0,0,0,0,0,0,0,0,0,0
William  Hollinrake,1.6,1,0,2,1,0,1,0,0,1,0,0,0,0,0
Candice  White,3.7,3.9,0,2,1,0,1,0,0,1,0,0,0,0,0
Pat  Ledbetter,3.5,3.4,1,0,2,1,1,0,0,0,0,0,0,0,0
Diane  Reid,4.5,4.2,1,1,1,1,1,0,0,0,0,0,0,0,0
Jeffrey  Kent,3.7,4.6,4,0,0,1,0,0,0,0,0,0,0,0,0
Angelica  Vessella,4.4,4.9,0,3,1,0,1,0,0,0,0,0,0,0,0
Matthew  Erdelyi,2.6,2.1,0,2,0,1,1,0,1,0,0,0,0,0,0
Daniel  Kurylo,3.3,4.4,1,2,0,0,1,0,1,0,0,0,0,0,0
Aaron  Kozbelt,4.7,4,1,2,0,1,1,0,0,0,0,0,0,0,0
Ashraf  Shirani,3.5,2.6,0,1,0,1,1,1,1,0,0,0,0,0,0
John  Moliassa,4.3,4.9,1,1,0,1,2,0,0,0,0,0,0,0,0
Roger  Strong,3.5,3.7,0,1,0,2,2,0,0,0,0,0,0,0,0
Thomas  Cooke,3.2,3.5,0,4,1,0,0,0,0,0,0,0,0,0,0
Lashun  Griffin,3,2.8,0,0,0,2,2,0,0,0,0,0,0,1,0
David  Rayson,4.7,4.6,1,4,0,0,0,0,0,0,0,0,0,0,0
Max  Smith,3.8,2.2,0,2,0,0,0,0,1,1,0,0,1,0,0
Ian  Wojcik-Andrews,3.7,4.8,3,2,0,0,0,0,0,0,0,0,0,0,0
Rex  Abert,3.7,4.2,1,2,0,0,2,0,0,0,0,0,0,0,0
John  Burk,4.9,5,0,0,1,2,1,1,0,0,0,0,0,0,0
Jennifer  Jossendal,3.1,2.8,1,1,0,0,1,1,0,0,0,0,0,0,1
Fred  Stewart,4.4,4.4,2,1,0,1,0,2,1,0,0,0,0,0,0
David  Gallaher,3.8,3,0,1,0,0,3,0,1,0,0,0,0,0,0
Kenny  Peters,3.3,2,0,1,0,0,0,0,0,0,0,0,0,0,4
Craig  Stettner,3.9,4.8,1,1,0,1,0,0,0,2,0,0,0,0,0
Todd  Ballantyne,4.7,4.2,0,4,0,0,0,0,0,0,0,0,0,0,1
Brandie  Siegfried,3.9,3.8,0,1,2,1,0,1,0,0,0,0,0,0,0
Shahinda  Hafeez,3.5,3,2,3,0,0,0,0,0,0,0,0,0,0,0
